member_grade_label,coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,aov
FAMILY,쿠폰 사용,25년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,5,5,13,1167960,233592.0
FAMILY,쿠폰 사용,26년 신상품 60만원이상 6만원할인,포인트 미사용,일반 상품,2,2,8,1162000,581000.0
FAMILY,쿠폰 미사용,202512 생일축하쿠폰1만원,포인트 미사용,일반 상품,11,11,21,1161800,105618.18181818182
FAMILY,쿠폰 사용,2026년 4월 신규회원 5000원 할인 / 등급할인10% / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,5,5,13,1161370,232274.0
FAMILY,쿠폰 미사용,2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,2,2,8,1153450,576725.0
FAMILY,쿠폰 사용,GNR 스페셜 20%,포인트 미사용,일반 상품,18,18,27,1119200,62177.77777777778
FAMILY,쿠폰 사용,HSS 30% 할인 쿠폰,포인트 사용,일반 상품,20,14,20,1094415,54720.75
FAMILY,쿠폰 사용,2026년 4월 신규회원 5000원 할인 / GNR 스페셜 20%,포인트 사용,일반 상품,12,12,16,1093250,91104.16666666667
FAMILY,쿠폰 사용,Winter Festival 15% (오전10시),포인트 미사용,일반 상품,6,6,7,1084340,180723.33333333334
FAMILY,쿠폰 사용,GNR 스페셜 20% / 등급할인10%,포인트 사용,일반 상품,11,11,14,1073000,97545.45454545454
FAMILY,쿠폰 사용,2025년 11월 신규회원 5000원 할인 / Winter Festival 10% (오후6시),포인트 사용,일반 상품,4,4,6,1043350,260837.5
FAMILY,쿠폰 사용,2026년 6월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,9,9,12,1023480,113720.0
FAMILY,쿠폰 사용,202512 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,9,9,9,1023350,113705.55555555556
FAMILY,쿠폰 미사용,2025년 12월 신규회원 5000원 할인,포인트 사용,일반 상품,12,12,17,1014660,84555.0
FAMILY,쿠폰 사용,2025년 12월 신규회원 5000원 할인 / ★ 단체 구매 10% 할인,포인트 미사용,일반 상품,1,1,7,1009800,1009800.0
