member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue,transition_rate,rank_in_first_category
GOLD,여성,폴로티/집업,1,1,2,89960,0.1,3
GOLD,여성,긴바지,1,1,1,30880,0.1,4
GOLD,자켓/ 베스트,남성,1,1,2,248920,0.5,1
GOLD,자켓/ 베스트,등산화,1,1,1,110680,0.5,2
GOLD,장갑,남성,1,1,2,90660,0.3333333333333333,1
GOLD,장갑,셋업,1,1,1,83510,0.3333333333333333,2
GOLD,장갑,라운드티,1,1,1,32850,0.3333333333333333,3
SILVER,UNKNOWN,남성,12,12,24,2476850,0.7058823529411765,1
SILVER,UNKNOWN,긴바지,1,1,3,466770,0.058823529411764705,2
SILVER,UNKNOWN,미드/롱다운,1,1,1,447200,0.058823529411764705,3
SILVER,UNKNOWN,자켓/ 베스트,1,1,1,107000,0.058823529411764705,4
SILVER,UNKNOWN,UNKNOWN,1,1,1,72700,0.058823529411764705,5
SILVER,UNKNOWN,반바지,1,1,1,25850,0.058823529411764705,6
SILVER,가방,남성,4,4,9,1070320,0.4444444444444444,1
SILVER,가방,여성,3,3,3,452490,0.3333333333333333,2
SILVER,가방,긴바지,1,1,3,466770,0.1111111111111111,3
SILVER,가방,자켓/ 베스트,1,1,1,128900,0.1111111111111111,4
SILVER,긴바지,남성,21,21,36,3441796,0.4117647058823529,1
SILVER,긴바지,긴바지,14,14,18,1548820,0.27450980392156865,2
SILVER,긴바지,라운드티,5,5,6,231090,0.09803921568627451,3
SILVER,긴바지,여성,2,2,4,509580,0.0392156862745098,4
SILVER,긴바지,반바지,2,2,2,56650,0.0392156862745098,5
SILVER,긴바지,바람막이,1,1,1,129000,0.0196078431372549,6
SILVER,긴바지,셔츠,1,1,1,110070,0.0196078431372549,7
SILVER,긴바지,등산화,1,1,1,107970,0.0196078431372549,8
SILVER,남성,남성,339,339,585,55743740,0.6494252873563219,1
SILVER,남성,여성,44,44,57,7920670,0.0842911877394636,2
SILVER,남성,셋업,20,20,27,2289730,0.038314176245210725,3
SILVER,남성,라운드티,18,18,31,1227050,0.034482758620689655,4
SILVER,남성,긴바지,15,15,20,1636400,0.028735632183908046,5
SILVER,남성,맨투맨/후드티,12,12,14,723020,0.022988505747126436,6
SILVER,남성,UNKNOWN,10,10,11,1023240,0.019157088122605363,7
SILVER,남성,미드/롱다운,7,7,7,2187835,0.013409961685823755,8
SILVER,등산화,남성,9,9,15,1565220,0.5294117647058824,1
SILVER,등산화,여성,3,3,3,241760,0.17647058823529413,2
SILVER,등산화,등산화,1,1,3,387130,0.058823529411764705,3
SILVER,등산화,셋업,1,1,2,132570,0.058823529411764705,4
SILVER,등산화,하이킹,1,1,1,55000,0.058823529411764705,5
SILVER,등산화,자켓/ 베스트,1,1,1,49860,0.058823529411764705,6
SILVER,등산화,반바지,1,1,1,48820,0.058823529411764705,7
SILVER,라운드티,남성,24,24,36,3726950,0.4067796610169492,1
SILVER,라운드티,여성,10,10,15,1640660,0.1694915254237288,2
SILVER,라운드티,라운드티,8,8,11,461900,0.13559322033898305,3
SILVER,라운드티,긴바지,4,4,4,305330,0.06779661016949153,4
SILVER,라운드티,반바지,3,3,3,105000,0.05084745762711865,5
SILVER,라운드티,셋업,2,2,3,226600,0.03389830508474576,6
SILVER,라운드티,바람막이,1,1,1,159000,0.01694915254237288,7
SILVER,라운드티,자켓/ 베스트,1,1,1,128900,0.01694915254237288,8
SILVER,맨투맨/후드티,남성,7,7,13,1908690,0.7,1
SILVER,맨투맨/후드티,다운/ 패딩,1,1,1,164000,0.1,2
SILVER,맨투맨/후드티,자켓/베스트,1,1,1,82490,0.1,3
SILVER,맨투맨/후드티,맨투맨/후드티,1,1,1,56070,0.1,4
SILVER,미드/롱다운,남성,8,8,11,2595470,0.5,1
SILVER,미드/롱다운,여성,3,3,4,1115100,0.1875,2
SILVER,미드/롱다운,미드/롱다운,3,3,3,887430,0.1875,3
SILVER,미드/롱다운,셋업,1,1,1,108300,0.0625,4
SILVER,미드/롱다운,라운드티,1,1,1,42880,0.0625,5
SILVER,바람막이,남성,5,5,6,462670,0.4166666666666667,1
SILVER,바람막이,자켓/ 베스트,2,2,2,246500,0.16666666666666666,2
SILVER,바람막이,바람막이,2,2,2,154170,0.16666666666666666,3
SILVER,바람막이,트레일러닝,1,1,1,107030,0.08333333333333333,4
SILVER,바람막이,긴바지,1,1,1,90400,0.08333333333333333,5
SILVER,바람막이,반바지,1,1,1,48820,0.08333333333333333,6
SILVER,반바지,남성,5,5,8,783900,0.38461538461538464,1
SILVER,반바지,긴바지,5,5,6,413090,0.38461538461538464,2
SILVER,반바지,라운드티,2,2,4,149370,0.15384615384615385,3
SILVER,반바지,자켓/베스트,1,1,1,104810,0.07692307692307693,4
SILVER,볼캡,남성,3,3,3,139800,1.0,1
SILVER,부츠,여성,2,2,4,462880,0.5,1
SILVER,부츠,남성,2,2,6,376200,0.5,2
SILVER,상의,남성,4,4,8,467400,0.4444444444444444,1
SILVER,상의,반바지,2,2,2,110090,0.2222222222222222,2
SILVER,상의,여성,1,1,1,89000,0.1111111111111111,3
SILVER,상의,방수자켓,1,1,1,80630,0.1111111111111111,4
SILVER,상의,가방,1,1,1,74110,0.1111111111111111,5
SILVER,셋업,남성,17,17,24,2509065,0.38636363636363635,1
SILVER,셋업,여성,9,9,11,1322970,0.20454545454545456,2
SILVER,셋업,긴바지,3,3,3,240570,0.06818181818181818,3
SILVER,셋업,라운드티,3,3,3,153630,0.06818181818181818,4
SILVER,셋업,자켓/ 베스트,2,2,2,246500,0.045454545454545456,5
SILVER,셋업,하이킹,2,2,2,98450,0.045454545454545456,6
SILVER,셋업,자켓/베스트,1,1,1,260310,0.022727272727272728,7
SILVER,셋업,셋업,1,1,2,176980,0.022727272727272728,8
SILVER,셔츠,남성,4,4,5,264350,0.5714285714285714,1
SILVER,셔츠,여성,1,1,1,104390,0.14285714285714285,2
SILVER,셔츠,긴바지,1,1,1,69500,0.14285714285714285,3
SILVER,셔츠,라운드티,1,1,1,34500,0.14285714285714285,4
SILVER,스니커즈,남성,1,1,1,209270,0.5,1
SILVER,스니커즈,등산화,1,1,1,88350,0.5,2
SILVER,액세서리,여성,2,2,2,1201380,0.6666666666666666,1
SILVER,액세서리,긴바지,1,1,1,112770,0.3333333333333333,2
SILVER,여성,여성,33,33,48,5685405,0.375,1
SILVER,여성,남성,33,33,58,5084830,0.375,2
SILVER,여성,셋업,8,8,10,857090,0.09090909090909091,3
SILVER,여성,라운드티,3,3,4,148530,0.03409090909090909,4
SILVER,여성,미드/롱다운,2,2,2,751430,0.022727272727272728,5
SILVER,여성,상의,2,2,3,132110,0.022727272727272728,6
SILVER,여성,패딩/슬림다운,1,1,1,156530,0.011363636363636364,7
SILVER,여성,자켓/ 베스트,1,1,1,155000,0.011363636363636364,8
SILVER,인터체인지 (3 in 1),남성,1,1,2,215700,1.0,1
SILVER,자켓/ 베스트,남성,13,13,25,2670570,0.38235294117647056,1
SILVER,자켓/ 베스트,라운드티,5,5,5,311580,0.14705882352941177,2
SILVER,자켓/ 베스트,긴바지,4,4,4,296700,0.11764705882352941,3
SILVER,자켓/ 베스트,셋업,2,2,2,254160,0.058823529411764705,4
SILVER,자켓/ 베스트,여성,2,2,2,228000,0.058823529411764705,5
SILVER,자켓/ 베스트,폴로티/집업,2,2,2,163230,0.058823529411764705,6
SILVER,자켓/ 베스트,패딩/슬림다운,1,1,1,159000,0.029411764705882353,7
SILVER,자켓/ 베스트,바람막이,1,1,1,159000,0.029411764705882353,8
SILVER,자켓/베스트,남성,3,3,7,762650,0.375,1
SILVER,자켓/베스트,셋업,1,1,1,185960,0.125,2
SILVER,자켓/베스트,패딩/슬림다운,1,1,1,159000,0.125,3
SILVER,자켓/베스트,맨투맨/후드티,1,1,1,97420,0.125,4
SILVER,자켓/베스트,폴로티/집업,1,1,1,97420,0.125,5
SILVER,자켓/베스트,여성,1,1,1,63270,0.125,6
