order_date,member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue
2024-05-21,FAMILY,라운드티,라운드티,2,2,2,98500
2024-05-21,FAMILY,반바지,남성,1,1,1,121440
2024-05-21,FAMILY,셋업,트레일러닝,1,1,1,104100
2024-05-21,SILVER,UNKNOWN,남성,1,1,1,39000
2024-05-22,FAMILY,남성,남성,4,4,4,215500
2024-05-22,FAMILY,남성,긴바지,1,1,1,54500
2024-05-22,FAMILY,남성,UNKNOWN,1,1,1,54080
2024-05-22,FAMILY,남성,반바지,1,1,1,39500
2024-05-22,FAMILY,라운드티,긴바지,1,1,1,99360
2024-05-22,FAMILY,라운드티,남성,1,1,1,30000
2024-05-22,FAMILY,바람막이,UNKNOWN,1,1,1,54080
2024-05-22,FAMILY,반바지,UNKNOWN,1,1,1,54080
2024-05-22,FAMILY,여성,UNKNOWN,1,1,1,54080
2024-05-23,FAMILY,긴바지,남성,1,1,1,54210
2024-05-23,FAMILY,긴바지,장갑,1,1,1,24450
2024-05-23,FAMILY,남성,남성,3,3,5,326420
2024-05-23,FAMILY,남성,라운드티,2,2,2,74000
2024-05-23,FAMILY,남성,긴바지,1,1,1,61200
2024-05-23,FAMILY,라운드티,남성,2,2,4,278000
2024-05-23,FAMILY,라운드티,라운드티,1,1,1,39500
2024-05-23,FAMILY,바람막이,남성,1,1,1,34500
2024-05-23,FAMILY,여성,남성,1,1,2,189000
2024-05-23,FAMILY,하이킹,장갑,1,1,1,24450
2024-05-23,SILVER,라운드티,남성,1,1,1,46320
2024-05-24,FAMILY,가방,남성,1,1,2,68200
2024-05-24,FAMILY,긴바지,남성,1,1,1,51410
2024-05-24,FAMILY,남성,라운드티,3,3,5,256040
2024-05-24,FAMILY,남성,가방,1,1,1,114540
2024-05-24,FAMILY,남성,상의,1,1,1,90860
2024-05-24,FAMILY,남성,남성,1,1,1,51410
2024-05-24,FAMILY,라운드티,라운드티,1,1,3,149840
2024-05-24,FAMILY,라운드티,남성,1,1,1,51410
2024-05-24,FAMILY,자켓/ 베스트,긴바지,1,1,1,66340
2024-05-24,FAMILY,트레일러닝,하이킹,1,1,1,130300
2024-05-24,FAMILY,하이킹,상의,1,1,1,90860
2024-05-25,FAMILY,남성,상의,1,1,1,76840
2024-05-25,FAMILY,남성,UNKNOWN,1,1,1,59650
2024-05-25,FAMILY,남성,남성,1,1,1,39500
2024-05-25,SILVER,남성,스니커즈,1,1,1,133880
2024-05-26,FAMILY,남성,남성,2,2,5,134080
2024-05-26,FAMILY,남성,가방,1,1,1,62300
2024-05-26,FAMILY,남성,상의,1,1,1,61340
2024-05-26,FAMILY,남성,라운드티,1,1,1,56530
2024-05-26,FAMILY,라운드티,라운드티,1,1,1,63550
2024-05-26,FAMILY,바람막이,남성,1,1,1,59000
2024-05-27,FAMILY,남성,남성,3,3,5,304730
2024-05-27,FAMILY,남성,라운드티,1,1,1,59000
2024-05-27,FAMILY,상의,남성,1,1,2,78530
2024-05-27,FAMILY,셔츠,여성,1,1,1,149000
2024-05-27,FAMILY,자켓/ 베스트,남성,1,1,2,78530
2024-05-27,FAMILY,트레일러닝,남성,1,1,1,39000
2024-05-27,GOLD,긴바지,셋업,1,1,1,137820
2024-05-27,GOLD,긴바지,남성,1,1,1,103730
2024-05-27,GOLD,상의,셋업,1,1,1,137820
2024-05-27,GOLD,상의,남성,1,1,1,103730
2024-05-28,FAMILY,가방,자켓/ 베스트,1,1,1,144640
2024-05-28,FAMILY,긴바지,자켓/ 베스트,1,1,1,169340
2024-05-28,FAMILY,남성,자켓/ 베스트,2,2,2,313980
2024-05-28,FAMILY,남성,라운드티,2,2,2,142810
2024-05-28,FAMILY,남성,UNKNOWN,1,1,1,64970
2024-05-28,FAMILY,라운드티,남성,1,1,7,200000
2024-05-28,FAMILY,라운드티,라운드티,1,1,2,118000
2024-05-28,FAMILY,여성,라운드티,1,1,1,59000
2024-05-28,FAMILY,자켓/ 베스트,남성,1,1,2,192770
2024-05-28,FAMILY,캡,라운드티,1,1,1,59000
2024-05-28,SILVER,UNKNOWN,긴바지,1,1,3,466770
2024-05-28,SILVER,가방,긴바지,1,1,3,466770
2024-05-28,SILVER,긴바지,긴바지,1,1,3,466770
2024-05-28,SILVER,남성,긴바지,1,1,3,466770
2024-05-28,SILVER,햇,자켓/ 베스트,1,1,1,123380
2024-05-28,SILVER,햇,셋업,1,1,1,70190
2024-05-28,SILVER,햇,남성,1,1,1,9430
2024-05-29,FAMILY,가방,남성,1,1,2,53190
2024-05-29,FAMILY,긴바지,바람막이,1,1,1,110270
2024-05-29,FAMILY,긴바지,남성,1,1,2,53190
2024-05-29,FAMILY,남성,남성,2,2,2,172170
2024-05-29,FAMILY,상의,남성,1,1,2,53190
2024-05-29,FAMILY,카고/조거,남성,1,1,2,53190
2024-05-29,SILVER,셋업,반바지,1,1,1,17500
2024-05-30,FAMILY,긴바지,긴바지,1,1,1,67660
2024-05-30,FAMILY,남성,남성,3,3,3,222650
2024-05-30,FAMILY,남성,바람막이,1,1,1,150650
2024-05-30,FAMILY,남성,등산화,1,1,1,103200
2024-05-30,FAMILY,남성,긴바지,1,1,1,67870
2024-05-30,FAMILY,남성,라운드티,1,1,1,50560
2024-05-30,FAMILY,라운드티,바람막이,1,1,1,150650
2024-05-30,FAMILY,라운드티,남성,1,1,1,35350
2024-05-30,FAMILY,여성,UNKNOWN,1,1,1,167030
2024-05-30,FAMILY,트레일러닝,등산화,1,1,1,103200
2024-05-30,SILVER,셋업,남성,1,1,1,74840
2024-05-30,SILVER,셋업,라운드티,1,1,1,74830
2024-05-30,SILVER,셋업,긴바지,1,1,1,59870
2024-05-30,SILVER,셋업,액세서리,1,1,2,12620
2024-05-30,SILVER,자켓/ 베스트,남성,1,1,1,74840
2024-05-30,SILVER,자켓/ 베스트,라운드티,1,1,1,74830
2024-05-30,SILVER,자켓/ 베스트,긴바지,1,1,1,59870
2024-05-30,SILVER,자켓/ 베스트,액세서리,1,1,2,12620
2024-05-31,FAMILY,긴바지,라운드티,1,1,2,51460
2024-05-31,FAMILY,남성,라운드티,1,1,2,51460
2024-05-31,FAMILY,남성,남성,1,1,1,37350
2024-05-31,FAMILY,라운드티,남성,2,2,2,283000
2024-05-31,FAMILY,라운드티,라운드티,1,1,2,51460
2024-05-31,FAMILY,폴로티/집업,남성,1,1,1,94000
