coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,coupon_amount,mileage_amount,promotion_amount,aov
쿠폰 사용,등급할인20% / 등급할인20% / 25년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,2,2,6,552450,151200,31150,0,276225.0
쿠폰 사용,202512 생일축하쿠폰1만원 / 등급할인20% / 등급할인20% / 25년 신상품 70만원이상 7만원할인,포인트 사용,일반 상품,1,1,6,547680,227600,114720,0,547680.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 12월 신규회원 5000원 할인 / 202512 생일축하쿠폰1만원,포인트 사용,일반 상품,2,2,6,545130,91570,9000,0,272565.0
쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 비오는날 10% 스페셜 할인,포인트 사용,일반 상품,4,4,4,541590,107600,26810,0,135397.5
쿠폰 사용,등급할인10% / 25년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,4,4,4,514400,101600,0,0,128600.0
쿠폰 사용,등급할인10% / Winter Festival 10% (오전10시),포인트 미사용,일반 상품,1,1,4,506700,56300,0,0,506700.0
쿠폰 미사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 미사용,일반 상품,5,5,7,505650,0,0,0,101130.0
쿠폰 사용,2026년 3월 신규회원 5000원 할인 / GNR 스페셜 20%,포인트 미사용,일반 상품,4,4,10,504000,141000,0,0,126000.0
쿠폰 사용,Winter Festival 20% (오전10시),포인트 사용,일반 상품,3,3,4,502870,130420,18810,0,167623.33333333334
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 4월 신규회원 5000원 할인 / 등급할인10%,포인트 미사용,일반 상품,2,2,6,498330,95170,0,0,249165.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 5월 신규회원 5000원 할인 / 등급할인10%,포인트 사용,일반 상품,2,2,4,496380,103620,6000,0,248190.0
쿠폰 사용,202511 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,2,2,2,493470,74830,0,0,246735.0
쿠폰 사용,202512 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,4,4,4,489600,94400,0,0,122400.0
쿠폰 사용,202601 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,3,3,4,488070,84230,0,0,162690.0
쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 202605 생일축하쿠폰1만원,포인트 사용,일반 상품,4,4,7,486360,80000,46640,0,121590.0
쿠폰 사용,무료배송쿠폰(3만원미만 사용가능) / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,28,28,30,486190,66950,116340,0,17363.928571428572
쿠폰 사용,25년 신상품 30만원이상 3만원할인 / 등급할인20% / 등급할인20%,포인트 사용,일반 상품,1,1,5,482420,87600,18280,0,482420.0
쿠폰 사용,"GNR 스페셜 20% / 신규회원 스페셜 5,000",포인트 미사용,일반 상품,2,2,4,475600,100400,0,0,237800.0
쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 등급할인20%,포인트 미사용,일반 상품,2,2,4,466600,129400,0,0,233300.0
쿠폰 사용,202605 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,5,5,5,466020,101780,0,0,93204.0
쿠폰 사용,GNR 스페셜 20% / 2026년 4월 신규회원 5000원 할인,포인트 미사용,일반 상품,5,5,6,463200,140800,0,0,92640.0
쿠폰 미사용,202603 생일축하쿠폰1만원,포인트 사용,일반 상품,6,6,8,461530,0,21330,0,76921.66666666667
쿠폰 미사용,등급할인20%,포인트 미사용,일반 상품,3,3,3,461300,0,0,0,153766.66666666666
쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 202603 생일축하쿠폰1만원,포인트 사용,일반 상품,5,5,8,458300,100000,40700,0,91660.0
쿠폰 미사용,"신규회원 스페셜 5,000",포인트 미사용,일반 상품,2,2,6,457000,0,0,0,228500.0
쿠폰 미사용,등급할인10% / 26년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,4,4,8,453900,0,0,0,113475.0
쿠폰 미사용,26년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 미사용,일반 상품,7,7,10,452500,0,0,0,64642.857142857145
쿠폰 사용,2026년 4월 신규회원 5000원 할인 / GNR 스페셜 20%,포인트 미사용,일반 상품,4,4,6,451200,132800,0,0,112800.0
쿠폰 미사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,7,7,8,442190,0,9810,0,63170.0
쿠폰 사용,Winter Festival 5% (오후6시) / 202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,1,1,1,442030,33270,0,0,442030.0
쿠폰 사용,등급할인20% / 등급할인20% / 등급할인20% / 26년 신상품 50만원이상 5만원할인,포인트 사용,일반 상품,1,1,8,437640,97400,16960,0,437640.0
쿠폰 사용,26년 신상품 40만원이상 4만원할인 / 등급할인20% / 등급할인20% / 등급할인20%,포인트 사용,일반 상품,1,1,3,436500,159400,1100,0,436500.0
쿠폰 사용,25년 신상품 20만원이상 2만원할인 / 등급할인20%,포인트 미사용,일반 상품,1,1,2,434400,91800,0,0,434400.0
쿠폰 사용,202602 생일축하쿠폰1만원 / 26년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,2,2,3,431770,60000,0,0,215885.0
쿠폰 사용,2026년 1월 신규회원 5000원 할인 / F25 온라인 전용 10% 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,1,1,5,431710,63090,11000,0,431710.0
쿠폰 사용,GNR 스페셜 20% / 2026년 3월 신규회원 5000원 할인,포인트 사용,일반 상품,3,3,6,431200,124800,8000,0,143733.33333333334
쿠폰 사용,비오는날 10% 스페셜 할인 / 26년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,3,3,3,426300,80700,0,0,142100.0
