coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,coupon_amount,mileage_amount,promotion_amount,aov
쿠폰 사용,"신규회원 스페셜 5,000",포인트 사용,일반 상품,20,20,20,1694040,100000,116060,0,84702.0
쿠폰 사용,2026년 3월 신규회원 5000원 할인,포인트 미사용,일반 상품,14,14,14,1678500,70000,0,0,119892.85714285714
쿠폰 사용,25년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 사용,일반 상품,12,12,19,1657570,290800,65630,0,138130.83333333334
쿠폰 사용,등급할인10% / GNR 스페셜 20%,포인트 사용,일반 상품,13,13,18,1647390,610760,64850,0,126722.30769230769
쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 등급할인20%,포인트 미사용,일반 상품,12,12,18,1613600,494400,0,0,134466.66666666666
쿠폰 사용,등급할인10% / 26년 신상품 40만원이상 4만원할인,포인트 미사용,일반 상품,4,4,8,1612400,295600,0,0,403100.0
쿠폰 미사용,등급할인10% / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,21,21,26,1600049,0,53600,0,76192.80952380953
쿠폰 사용,Winter Festival 15% (오후6시),포인트 미사용,일반 상품,4,4,6,1569190,259610,0,0,392297.5
쿠폰 사용,2026년 5월 신규회원 5000원 할인,포인트 사용,일반 상품,18,18,18,1564730,90000,63270,0,86929.44444444444
쿠폰 미사용,첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,28,28,39,1556397,0,83500,0,55585.607142857145
쿠폰 사용,25년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,7,7,11,1553000,140000,0,0,221857.14285714287
쿠폰 사용,"신규회원 스페셜 5,000",포인트 미사용,일반 상품,12,12,12,1549200,60000,0,0,129100.0
쿠폰 사용,등급할인10% / 26년 신상품 30만원이상 3만원할인,포인트 미사용,일반 상품,5,5,12,1493500,254500,0,0,298700.0
쿠폰 미사용,등급할인20%,포인트 사용,일반 상품,17,17,20,1481640,0,109510,0,87155.29411764706
쿠폰 미사용,202604 생일축하쿠폰1만원,포인트 사용,일반 상품,26,26,33,1448410,0,145490,0,55708.07692307692
쿠폰 사용,202604 생일축하쿠폰1만원,포인트 미사용,일반 상품,25,25,25,1442400,250000,0,0,57696.0
쿠폰 사용,26년 신상품 50만원이상 5만원할인,포인트 사용,일반 상품,3,3,14,1414510,132090,14750,0,471503.3333333333
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202602 생일축하쿠폰1만원,포인트 미사용,일반 상품,8,8,11,1409175,236575,0,0,176146.875
쿠폰 미사용,202511 생일축하쿠폰1만원,포인트 사용,일반 상품,14,14,23,1389740,0,75260,0,99267.14285714286
쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 등급할인20% / 등급할인20%,포인트 사용,일반 상품,7,7,16,1371970,499200,38830,0,195995.7142857143
쿠폰 사용,GNR 스페셜 20% / 2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,9,9,13,1367900,394200,28900,0,151988.88888888888
쿠폰 사용,202602 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,10,10,11,1348692,260688,97500,0,134869.2
쿠폰 사용,2026년 6월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,10,10,14,1309510,199390,35000,0,130951.0
쿠폰 사용,Winter Festival 15% (오전10시),포인트 사용,일반 상품,7,7,8,1308825,239365,47510,0,186975.0
쿠폰 사용,Winter Festival 10% (오후6시),포인트 사용,일반 상품,7,7,7,1288520,148590,48790,0,184074.2857142857
쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,7,7,9,1266390,210000,110730,0,180912.85714285713
쿠폰 사용,등급할인20%,포인트 미사용,일반 상품,16,14,16,1229600,307400,0,0,76850.0
쿠폰 사용,26년 신상품 40만원이상 4만원할인 / 등급할인10%,포인트 사용,일반 상품,3,3,6,1187980,211700,24320,0,395993.3333333333
쿠폰 사용,25년 신상품 20만원이상 2만원할인 / 등급할인10%,포인트 사용,일반 상품,5,5,13,1183780,190500,40920,0,236756.0
쿠폰 사용,등급할인20% / 등급할인20% / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,9,9,20,1178830,404400,96770,0,130981.11111111111
쿠폰 사용,26년 신상품 60만원이상 6만원할인,포인트 미사용,일반 상품,2,2,8,1162000,120000,0,0,581000.0
쿠폰 미사용,202512 생일축하쿠폰1만원,포인트 미사용,일반 상품,11,11,21,1161800,0,0,0,105618.18181818182
쿠폰 사용,2026년 4월 신규회원 5000원 할인 / 등급할인10% / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,5,5,13,1161370,223430,17000,0,232274.0
쿠폰 미사용,2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,2,2,8,1153450,0,2550,0,576725.0
쿠폰 사용,GNR 스페셜 20%,포인트 미사용,일반 상품,18,18,27,1119200,279800,0,0,62177.77777777778
쿠폰 사용,HSS 30% 할인 쿠폰,포인트 사용,일반 상품,20,14,20,1094415,542485,184050,0,54720.75
쿠폰 사용,2026년 4월 신규회원 5000원 할인 / GNR 스페셜 20%,포인트 사용,일반 상품,12,12,16,1093250,340800,29950,0,91104.16666666667
쿠폰 사용,Winter Festival 15% (오전10시),포인트 미사용,일반 상품,6,6,7,1084340,191360,0,0,180723.33333333334
쿠폰 사용,GNR 스페셜 20% / 등급할인10%,포인트 사용,일반 상품,11,11,14,1073000,427120,55880,0,97545.45454545454
쿠폰 사용,Winter Festival 10% (오전10시),포인트 사용,일반 상품,10,10,10,1067750,125200,59050,0,106775.0
쿠폰 사용,2025년 11월 신규회원 5000원 할인 / Winter Festival 10% (오후6시),포인트 사용,일반 상품,4,4,6,1043350,138150,20000,0,260837.5
쿠폰 사용,2026년 6월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,9,9,12,1023480,158720,0,0,113720.0
쿠폰 사용,202512 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,9,9,9,1023350,206950,29200,0,113705.55555555556
쿠폰 미사용,2025년 12월 신규회원 5000원 할인,포인트 사용,일반 상품,12,12,17,1014660,0,19740,0,84555.0
쿠폰 사용,2025년 12월 신규회원 5000원 할인 / ★ 단체 구매 10% 할인,포인트 미사용,일반 상품,1,1,7,1009800,117200,0,0,1009800.0
쿠폰 사용,25년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,3,3,3,999620,90000,47380,0,333206.6666666667
쿠폰 사용,등급할인10% / 25년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,8,8,11,968210,187100,52690,0,121026.25
쿠폰 사용,25년 신상품 50만원이상 5만원할인,포인트 미사용,일반 상품,2,2,46,948000,100000,0,0,474000.0
쿠폰 사용,Winter Festival 15% (오후6시),포인트 사용,일반 상품,7,7,7,939490,173630,44380,0,134212.85714285713
쿠폰 사용,첫 구매 장바구니 10% 할인 / 등급할인10% / 2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,4,4,7,937770,177750,7680,0,234442.5
쿠폰 사용,첫 구매 장바구니 10% 할인 / 무료배송쿠폰(3만원미만 사용가능),포인트 사용,일반 상품,53,53,59,937060,128540,219800,0,17680.377358490565
쿠폰 사용,202603 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,10,10,10,925330,208370,50000,0,92533.0
쿠폰 사용,26년 신상품 30만원이상 3만원할인 / 등급할인20%,포인트 사용,일반 상품,3,3,3,917320,349400,30280,0,305773.3333333333
쿠폰 사용,Winter Festival 10% (오후6시),포인트 미사용,일반 상품,4,4,5,898110,99790,0,0,224527.5
쿠폰 사용,GNR 스페셜 20%,포인트 사용,일반 상품,21,21,25,886490,239600,71910,0,42213.80952380953
쿠폰 사용,25년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 미사용,일반 상품,7,7,11,869000,153300,0,0,124142.85714285714
쿠폰 사용,2026년 5월 신규회원 5000원 할인,포인트 미사용,일반 상품,10,10,10,862000,50000,0,0,86200.0
쿠폰 사용,Winter Festival 20% (오후6시),포인트 사용,일반 상품,5,5,5,861540,221520,24540,0,172308.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202511 생일축하쿠폰1만원,포인트 사용,일반 상품,2,2,2,855740,115860,7000,0,427870.0
쿠폰 사용,등급할인20% / 등급할인20% / 26년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,3,3,10,855660,223220,35420,0,285220.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202603 생일축하쿠폰1만원,포인트 사용,일반 상품,6,6,7,854460,159940,45000,0,142410.0
쿠폰 사용,등급할인20% / 26년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,6,6,9,852400,268600,0,0,142066.66666666666
쿠폰 사용,등급할인10% / 2026년 5월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,2,2,8,836340,139060,21000,0,418170.0
쿠폰 미사용,F25 온라인 전용 10% 할인,포인트 사용,일반 상품,7,7,18,826100,0,58900,0,118014.28571428571
쿠폰 미사용,"무료배송쿠폰(등급혜택, 3만원미만 사용가능)",포인트 미사용,일반 상품,33,33,35,823700,0,0,0,24960.60606060606
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,4,4,7,817920,130880,0,0,204480.0
쿠폰 미사용,25년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,4,4,12,806830,0,9670,0,201707.5
쿠폰 미사용,202512 생일축하쿠폰1만원,포인트 사용,일반 상품,21,21,24,804100,0,58800,0,38290.47619047619
쿠폰 사용,202601 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,3,3,4,803250,119250,0,0,267750.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 5월 신규회원 5000원 할인 / 등급할인10%,포인트 사용,일반 상품,5,5,9,802270,175780,19250,0,160454.0
쿠폰 미사용,등급할인10% / 26년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,10,10,16,793100,0,0,0,79310.0
쿠폰 미사용,첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,17,17,23,785000,0,0,0,46176.470588235294
쿠폰 사용,26년 신상품 70만원이상 7만원할인,포인트 사용,일반 상품,1,1,17,766440,70000,29560,0,766440.0
쿠폰 사용,2026년 4월 신규회원 5000원 할인 / GNR 스페셜 20% / 등급할인10%,포인트 사용,일반 상품,1,1,5,742080,240920,2000,0,742080.0
