product_code,product_name_kor,product_name,source_image_url,repeat_orders,repeat_buyers,avg_days_since_prev_order,quantity,revenue,image_url,image_source,repeat_rate
C56YE4769039,남성 트랜스트레커 아웃드라이,TRANS TREKKER™ OUTDRY,,4,2,0.5,4,378000,assets/product_images/C56YE4769039.jpg,styleship_cdn_pattern+downloaded,0.5
C62XE3513010,남성 글레시얼 비스타 그래픽 티셔츠,Glacial Vista Graphic Tee,,6,6,1.5,8,377800,assets/product_images/C62XE3513010.jpg,excel_map+downloaded,1.0
C65BM7679202,남성 뉴튼릿지 베이스캠프,NEWTON RIDGE BC NB,,4,4,2.5,4,376500,assets/product_images/C65BM7679202.jpg,styleship_cdn_pattern+downloaded,1.0
C56CM4734278,남성 부가부™ 인터체인지 장갑,Mens Bugaboo™ Interchange Glove,,7,7,2.142857142857143,7,375770,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C56CM4734278.jpg,styleship_cdn_pattern,1.0
C61YL3502160,여성 카우 마운틴 2L 방수 자켓,W's Cow Mountain 2L Jacket,,2,2,3.0,2,375420,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C61YL3502160.jpg,styleship_cdn_pattern,1.0
C51WE4517352,남성 스트리트 트레커 방수 3L 자켓,M Street Trekker™ Jacket 3L,,2,2,3.0,2,374800,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C51WE4517352.jpg,styleship_cdn_pattern,1.0
C55YM8908271,[공식몰 단독] 남성 쓰라이브 리바이브 샌들,THRIVE™ REVIVE SHANDAL,,4,4,2.25,4,372500,assets/product_images/C55YM8908271.jpg,styleship_cdn_pattern+downloaded,1.0
C66BI1209234,남성 크레스트우드 로우 워터프루프 와이드핏,CRESTWOOD WATERPROOF WIDE,,3,3,2.6666666666666665,3,372290,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C66BI1209234.jpg,styleship_cdn_pattern,1.0
C52PM3894010,남성 아이스버그 가든™ 팬츠,Iceberg Garden™ Pant,,3,3,0.3333333333333333,3,371800,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C52PM3894010.jpg,styleship_cdn_pattern,1.0
C63AE5846464,남성 ROC 테크 5 포켓 팬츠,ROC Tech 5 Pocket Pant,,5,5,3.8,5,371700,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C63AE5846464.jpg,styleship_cdn_pattern,1.0
