product_code,product_name_kor,product_size,product_color,orders,buyers,quantity,revenue
C56BK5371271,여성 크레스트우드 미드 워터프루프 와이드핏,250,271,26,26,26,2405720
C54XM8729193,[DISNEY] 남성 미키와 친구들 하프 스냅 플리스,S,193,22,22,22,2403340
C65PU8664191,공용 케슬락 15L 백팩,OS,191,15,15,38,2401500
C64AR5760554,여성 헬베시아 II 프린티드 하프스냅 플리스 풀오버,XL,554,33,33,33,2401340
C54YL3483211,여성 패스 대쉬 포레스트 다운 자켓,95,211,7,7,7,2401242
C51AR9425012,여성 바운더리스 트랙 카고 팬츠,L,012,48,48,49,2399070
C46BM6754010,남성 픽프릭2 미드 아웃드라이 레더,275,010,18,18,19,2396540
C55PU8685010,[공식몰 단독]공용 올웨이즈바이사이드 원 숄더백,OS,010,49,49,49,2390590
C44AE2155460,[공식몰 단독] 공용 백볼™ 리마스터드 플리스 자켓,XL,460,29,29,36,2388180
C55YU6322212,공용 헤이지 저니 워터프루프,270,212,20,20,20,2386880
C56YU2743010,공용 옐로우테일 쇼티 WP OH,270,010,25,25,26,2386230
C65YU0633010,공용 롤링 코브Ⅱ 캡,58,010,52,49,74,2385040
C53WE4318010,남성 왈로와™ 소프트쉘 풀이밴드 팬츠,L,010,38,38,43,2384329
C65YM8908010,남성 이스케이프 쓰라이브 샌들,280,010,22,22,22,2383980
C51WE5795010,공용 텐 폴스 방수 아노락 판초,L,010,29,29,29,2383550
C52XE8841011,남성 콜드 베이 대쉬 숏 반팔 라운드 티셔츠,L,011,61,60,62,2381990
C56YU0694319,공용 스트림 투 포크 플리스 리버서블 트래퍼,58,319,58,58,60,2372220
C51AE5164278,남성 서밋 밸리 우븐 셔츠,XL,278,41,41,42,2366050
C55YU5270292,남성 호쏜 레인 로우 옴니테크 스니커즈,270,292,28,28,28,2360950
C64XR9092010,여성 미스티 트리즈 II 인터체인지 자켓,M,010,9,9,9,2358620
C51WE3507027,남성 앰플리 드라이™ 방수 2.5L 자켓,L,027,16,16,16,2357800
C66YU0154010,공용 헤이지 저니 2 워터프루프,260,010,22,22,22,2357300
C55BM8043010,남성 쓰라이브 리바이브 슬라이드,280,010,55,51,56,2357290
C64YM3572287,[추영우 착용] 남성 컬럼비아 락 다운 자켓,110,287,5,5,5,2356560
C51WE3507010,남성 앰플리 드라이™ 방수 2.5L 자켓,L,010,16,16,16,2352630
C75BI8634010,[추영우 착용] 남성 텔루릭스 타이타늄 아웃드라이 와이드,270,010,13,13,13,2352280
C46BM6754010,남성 픽프릭2 미드 아웃드라이 레더,265,010,19,19,19,2352160
C55YM8908010,남성 이스케이프 쓰라이브 샌들,280,010,21,21,21,2351880
C51AM5287011,남성 랜드로머 카고 셔츠,L,011,51,51,52,2348830
C56YU5200010,공용 호버튜버 옴니테크,280,010,30,30,30,2346785
C56YU0672297,공용 스노우슈 돔 이어플랩 캡,58,297,77,76,79,2346180
C66YU9626010,공용 샙랜드4 워터프루프 옴니히트,250,010,14,14,14,2344010
C54YM3496211,남성 하이크 보울 코브™ 플리스 자켓,105,211,22,22,22,2332350
C55PU8688010,[공식몰 단독]공용 올웨이즈바이사이드 에스 힙백,OS,010,83,82,91,2330510
C64YM3584395,남성 블루 에비뉴 다운 자켓,105,395,5,5,7,2326370
C52XE8841370,남성 콜드 베이 대쉬 숏 반팔 라운드 티셔츠,L,370,61,61,61,2325710
C56PU8662010,공용 케슬락 25L 백팩,OS,010,30,30,30,2324690
C54YM3474278,남성 마운틴 후드™ 다운 파카,100,278,6,5,6,2324480
C56YU0694010,공용 스트림 투 포크 플리스 리버서블 트래퍼,58,010,50,48,56,2320970
C65BM8217091,[공식몰 단독] 남성 이스케이프 쓰라이브 타이타늄 미드 아웃드라이,280,091,13,13,13,2316070
C66PU8663010,공용 케슬락 20L 백팩,OS,010,32,32,32,2314900
C54XY4893193,[DISNEY] 키즈 미키와 친구들 하프 스냅 플리스,M,193,33,33,33,2310600
C64YM7587211,남성 다트 포레스트 코듀로이 셔츠,105,211,19,19,19,2308640
C54AE5780366,남성 헬베시아 II 하프스냅 플리스 아노락,M,366,41,41,42,2303600
C55PU8599010,공용 그레이트 스모키 가든 바디 백,OS,010,52,52,53,2303480
C62XE3513492,[추영우 착용] 남성 글레시얼 비스타 그래픽 쿨링 티셔츠,XL,492,51,51,51,2302610
C64AE5780191,공용 헬베시아 II 하프스냅 플리스 아노락,XL,191,35,35,35,2291780
C54YM3479211,공용 마운틴 후드™ 롱 다운 자켓,105,211,7,7,7,2291680
C54WE4714681,공용 하이크바운드 인터체인지 자켓,M,681,16,16,16,2287973
C66PU8709010,공용 패나시아 30L 백팩,OS,010,34,34,34,2284960
C61YM3506011,남성 쓰리 락 바람막이 자켓,110,011,6,6,18,2284940
C64XR9829010,여성 타임 투 트레일 옴니히트 팬츠,M,010,25,23,26,2284600
C46BM6754010,남성 픽프릭2 미드 아웃드라이 레더,280,010,18,18,18,2282670
C56YU0154010,공용 헤이지 저니 2 워터프루프,270,010,21,21,21,2282620
C52XE8841011,남성 콜드 베이 대쉬 숏 반팔 라운드 티셔츠,XL,011,52,52,52,2276650
C65YU0633478,공용 롤링 코브Ⅱ 캡,58,478,72,71,72,2272430
C56YE4769339,남성 트랜스트레커 아웃드라이,270,339,15,15,15,2270480
C54WM3476010,공용 파우더케그 인터체인지 봄버 자켓,L,010,8,8,8,2269880
C54WE2476225,남성 스트릿 트래커 2.0 인터체인지 자켓,XL,225,5,5,5,2269780
C54YM3483010,남성 빅토리아 루프 롱 다운 자켓,110,010,7,7,8,2263905
C64YM7587439,남성 다트 포레스트 코듀로이 셔츠,105,439,19,19,19,2256160
C55YM8908271,[공식몰 단독] 남성 쓰라이브 리바이브 샌들,260,271,18,18,18,2252510
C51AE4572011,남성 맥스트레일 라이트 컨버터블 팬츠,34,011,21,21,22,2252020
C53YM3453010,남성 로스트 마운틴™ 방수 자켓,105,010,12,10,12,2249062
C66YU0678010,공용 프리오 하이크 캡,OS,010,64,63,64,2248580
C54WR3825397,여성 드랍 릿지 II 인터체인지 자켓,S,397,11,11,11,2247820
C66YU5200010,공용 호버튜버 옴니테크,270,010,30,28,30,2239840
C54XM6724010,[스타워즈] 공용 베이더 파카,XL,010,5,5,5,2239520
C65YU9708833,[그라플렉스] 공용 크릭 투 포인트 반다나,OS,833,172,169,251,2239010
C54YM3471397,남성 스노우 타워 레이크™ 다운 자켓,105,397,12,12,12,2231993
C63PM0537126,[요나스 컬렉션] 공용 레이크 투 에비뉴 그래픽 반팔 티셔츠,M,126,47,47,47,2231160
C55YU0366346,공용 레드우드™ 30L 뉴 플러스 백팩,30L,346,18,18,18,2230430
C54YM8478011,남성 마운틴 후드™ 인슐레이션 스트레이트 팬츠,80,011,18,18,18,2226530
C46BK4552008,여성 뉴튼릿지 플러스 와이드핏,245,008,34,32,34,2226040
C66YM0659010,공용 트레일 투 브러쉬 부니,61,010,15,14,57,2225720
C65BM1935063,남성 PFG 프로 스포츠 부츠,260,063,18,18,18,2224190
C54XE9996028,남성 타임 투 트레일™ 옴니히트™ 팬츠,L,028,24,24,24,2221350
C53AP3450010,여성 시커™ 레전드 2.0 티셔츠,L,010,79,77,80,2219200
C64XM5107100,[DISNEY] 남성 디즈니 하프 스냅 플리스 티셔츠,XL,100,19,19,19,2215510
C61YM3594466,공용 365 마운틴 3L 방수자켓,100,466,8,8,8,2211490
C56BI5371241,남성 크레스트우드 미드 워터프루프 와이드핏,265,241,22,22,22,2209925
C64WE5258010,남성 아틱 크레스트 경량 구스 다운자켓,XXL,010,7,7,7,2208100
C54XL5603193,[DISNEY] 여성 미키와 친구들 하프 스냅 플리스,S,193,19,18,20,2207720
C65BM0341010,남성 픽프릭 러쉬 샌달,270,010,25,25,25,2206430
