order_date,product_code,product_name_kor,product_name,source_image_url,first_orders,first_buyers,quantity,revenue,image_url,image_source
2026-04-18,C71XE9920464,공용 센트릴리엄 II 3 레이어 방수 자켓,Centrillium II Jacket,,1,1,1,189300,assets/product_images/C71XE9920464.jpg,excel_map+downloaded
2026-04-18,C75BL4131096,여성 픽프릭 러쉬 아웃드라이 미드,PEAKFREAK RUSH™ MID OUTDRY™,,1,1,1,167200,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BL4131096.jpg,styleship_cdn_pattern
2026-04-18,C72FM7047466,공용 PFG 바하마 II 반팔 셔츠,Bahama II S/S Shirt,,2,2,2,149010,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72FM7047466.jpg,styleship_cdn_pattern
2026-04-18,C75BL4131011,여성 픽프릭 러쉬 아웃드라이 미드,PEAKFREAK RUSH™ MID OUTDRY™,,1,1,1,148480,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BL4131011.jpg,styleship_cdn_pattern
2026-04-18,C75BI9168247,남성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH™ OUTDRY™ WIDE,,1,1,1,145890,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BI9168247.jpg,styleship_cdn_pattern
2026-04-18,C75BM4131247,[추영우 착용] 남성 픽프릭 러쉬 아웃드라이 미드,PEAKFREAK RUSH™ MID OUTDRY™,,1,1,1,143980,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BM4131247.jpg,styleship_cdn_pattern
2026-04-18,C65YU0367346,공용 레드우드 35L 백팩,REDWOOD35 BACKPACK,,1,1,1,137050,assets/product_images/C65YU0367346.jpg,excel_map+downloaded
2026-04-18,C75BI0652231,남성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD MID WATERPROOF WIDE,,1,1,1,109980,assets/product_images/C75BI0652231.jpg,excel_map+downloaded
2026-04-18,C65BM7763278,남성 몬트레일 트리니티 AG 2,MONTRAIL TRINITY AG II,,1,1,1,109000,assets/product_images/C65BM7763278.jpg,styleship_cdn_pattern+downloaded
2026-04-18,C71AE8980397,남성 실버 릿지 엘리트 컨버터블 팬츠,Silver Ridge Elite Convertible Pant,,1,1,1,98780,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AE8980397.jpg,styleship_cdn_pattern
2026-04-18,C71AM8728010,남성 랜드로머 스카우트 팬츠,Landroamer Scout Pant,,1,1,1,83300,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AM8728010.jpg,styleship_cdn_pattern
2026-04-18,C72FM7047162,공용 PFG 바하마 II 반팔 셔츠,Bahama II S/S Shirt,,1,1,1,80100,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72FM7047162.jpg,styleship_cdn_pattern
2026-04-18,C72FM7047556,공용 PFG 바하마 II 반팔 셔츠,Bahama II S/S Shirt,,1,1,1,75600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72FM7047556.jpg,styleship_cdn_pattern
2026-04-18,C62WE2798125,공용 코브 비치 윈드브레이커 자켓,Cove Beach Windbreaker,,1,1,1,67050,assets/product_images/C62WE2798125.jpg,excel_map+downloaded
2026-04-18,C75YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,1,1,1,55600,assets/product_images/C75YU0369010.jpg,excel_map+downloaded
2026-04-18,C75YU0369060,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,1,1,1,53890,assets/product_images/C75YU0369060.jpg,excel_map+downloaded
2026-04-18,C66YU0369397,본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,1,1,1,51890,assets/product_images/C66YU0369397.jpg,excel_map+downloaded
2026-04-18,C75CU8623278,경량 스피드 트레일 러닝 볼캡,Speed Trail Ball Cap,,1,1,1,44100,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75CU8623278.jpg,styleship_cdn_pattern
2026-04-18,C75YU0625375,공용 롤링코브III 볼캡,Rolling Cove III Cap,,1,1,1,35100,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YU0625375.jpg,styleship_cdn_pattern
2026-04-18,C62XE8841012,[추영우 착용] 공용 콜드 베이 대쉬 그래픽 반팔 티셔츠,Cold Bay Dash Short Sleeve Tee,,1,1,1,35000,assets/product_images/C62XE8841012.jpg,excel_map+downloaded
2026-04-18,C65CU5517625,[공식몰 단독] 공용 코브 비치 버켓,Cove Beach Bucket Hat,,1,1,1,29000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C65CU5517625.jpg,styleship_cdn_pattern
2026-04-18,C75CU5631023,공용 쿨헤드 III 냉감 볼캡,Coolhead III Ball Cap,,1,1,1,26100,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75CU5631023.jpg,styleship_cdn_pattern
2026-04-19,C71WE8104491,[추영우 착용] 남성 카시아 프로 ODX 쉘 방수자켓,Cassiar Pro ODX Shell,,1,1,1,347600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71WE8104491.jpg,styleship_cdn_pattern
2026-04-19,C75YE6448010,남성 트랜스 트레일 워터프루프,TRANS TRAIL WATERPROOF,,2,2,2,224540,assets/product_images/C75YE6448010.jpg,excel_map+downloaded
2026-04-19,C71YM3502494,남성 카우 마운틴 2L 방수 자켓,M's Cow Mountain 2L Jacket,,1,1,1,206780,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71YM3502494.jpg,styleship_cdn_pattern
